Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1668340257,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1668340258,1,,Aggregated,0.000000,0.000000,20,20,21,27,30,31,55,55,55,55,55,45,0,20,21.683887644353995,11.15011999354465,55.187568003020715,37.0
1668340259,2,,Aggregated,0.000000,0.000000,29,39,40,40,50,57,69,87,87,87,87,92,0,29,31.64270028228993,11.15011999354465,87.36435700120637,37.0
1668340261,3,,Aggregated,23.500000,0.000000,39,49,57,61,75,94,100,110,110,110,110,137,0,39,42.751309415845995,11.15011999354465,111.14276500302367,37.0
1668340262,4,,Aggregated,30.666667,0.000000,48,60,69,76,90,100,150,150,170,170,170,191,0,48,52.19285415682981,11.15011999354465,168.07505800534273,37.0
1668340263,5,,Aggregated,34.000000,0.000000,57,71,80,87,100,120,150,150,170,170,170,247,0,57,60.35572258686163,11.15011999354465,168.07505800534273,37.0
1668340264,6,,Aggregated,37.800000,0.000000,64,80,91,100,120,130,150,170,200,200,200,306,0,63,68.76495962072654,11.15011999354465,195.14538899966283,37.0
1668340265,7,,Aggregated,40.166667,0.000000,76,94,110,110,130,150,160,170,200,200,200,370,0,76,76.9024943997588,11.15011999354465,195.14538899966283,37.0
1668340266,8,,Aggregated,42.428571,0.000000,86,110,120,130,140,160,180,200,260,260,260,425,0,86,85.85768804219482,11.15011999354465,255.02002499706578,37.0
1668340267,9,,Aggregated,44.125000,0.000000,90,110,130,140,160,180,220,250,400,400,400,473,0,90,94.08068214573929,11.15011999354465,400.3573719965061,37.0
1668340268,10,,Aggregated,44.666667,0.000000,97,120,140,150,190,230,320,440,470,470,470,522,0,97,108.27309048266657,11.15011999354465,467.6769659999991,37.0
1668340269,11,,Aggregated,45.700000,0.000000,100,130,150,170,210,250,320,440,470,470,470,575,0,100.0,115.89229812347027,11.15011999354465,467.6769659999991,37.0
1668340270,12,,Aggregated,48.800000,0.000000,110,140,150,170,220,280,470,620,990,990,990,585,0,110.0,125.67681004273363,11.15011999354465,989.2712260043481,37.0
1668340272,13,,Aggregated,48.300000,0.000000,110,140,160,180,230,340,850,1900,2300,2300,2300,595,0,110.0,154.42043035966148,11.15011999354465,2310.0252960066427,37.0
1668340273,14,,Aggregated,44.900000,0.000000,110,140,180,200,290,530,1200,1900,2300,2300,2300,636,0,110.0,175.79428735064442,11.15011999354465,2310.0252960066427,37.0
1668340274,15,,Aggregated,39.900000,0.000000,120,160,210,230,310,470,1000,1900,2300,2300,2300,695,0,120.0,183.95614429354407,11.15011999354465,2310.0252960066427,37.0
1668340275,16,,Aggregated,37.800000,0.000000,130,180,230,260,360,460,990,1900,2300,2300,2300,745,0,130.0,193.4744277718495,11.15011999354465,2310.0252960066427,37.0
1668340276,17,,Aggregated,37.600000,0.000000,140,210,250,280,370,490,850,1800,2300,2300,2300,804,0,140.0,203.16736085950836,11.15011999354465,2310.0252960066427,37.0
1668340277,18,,Aggregated,36.700000,0.000000,150,230,280,310,390,490,760,1800,2300,2300,2300,862,0,150.0,213.499816669414,11.15011999354465,2310.0252960066427,37.0
1668340278,19,,Aggregated,36.300000,0.000000,160,250,310,330,410,490,680,1700,2300,2300,2300,918,0,160.0,223.33603075060208,11.15011999354465,2310.0252960066427,37.0
1668340280,20,,Aggregated,37.600000,0.000000,180,270,320,340,410,490,640,1700,2300,2300,2300,972,0,180.0,230.62262841152983,11.15011999354465,2310.0252960066427,37.0
1668340281,21,,Aggregated,37.200000,0.000000,200,290,330,350,420,480,630,1500,2000,2300,2300,1031,0,200.0,236.30925368865246,11.15011999354465,2310.0252960066427,37.0
1668340282,22,,Aggregated,39.400000,0.000000,210,300,340,370,440,490,630,1500,2000,2300,2300,1096,0,210.0,245.3083597718592,11.15011999354465,2310.0252960066427,37.0
1668340283,23,,Aggregated,44.300000,0.000000,230,310,350,380,440,490,620,1300,2000,2300,2300,1162,0,230.0,253.15007573319764,11.15011999354465,2310.0252960066427,37.0
1668340284,24,,Aggregated,48.900000,0.000000,250,320,360,390,440,500,610,1200,2000,2300,2300,1228,0,250.0,260.35379910910456,11.15011999354465,2310.0252960066427,37.0
1668340285,25,,Aggregated,51.900000,0.000000,260,330,370,390,450,500,600,1200,2000,2300,2300,1288,0,260.0,266.6238869355399,11.15011999354465,2310.0252960066427,37.0
1668340286,26,,Aggregated,51.800000,0.000000,270,340,380,400,460,510,600,1000,2000,2300,2300,1349,0,270.0,274.5351706359979,11.15011999354465,2310.0252960066427,37.0
1668340287,27,,Aggregated,53.700000,0.000000,280,360,390,420,470,530,620,990,2000,2300,2300,1409,0,280.0,284.2149244762226,11.15011999354465,2310.0252960066427,37.0
1668340289,28,,Aggregated,54.700000,0.000000,300,360,400,430,490,550,620,990,2000,2300,2300,1477,0,300.0,292.61117842247603,11.15011999354465,2310.0252960066427,37.0
1668340290,29,,Aggregated,54.400000,0.000000,310,380,410,440,500,540,630,930,2000,2300,2300,1550,0,310.0,299.97768816387475,11.15011999354465,2310.0252960066427,37.0
