Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integral/0/3.14159,8735,0,990.0,1329.265990733596,15.302961997804232,12792.39492600027,37.0,48.816130869194204,0.0,990,1500,1800,1900,2400,2800,3900,8800,12000,13000,13000
,Aggregated,8735,0,990.0,1329.265990733596,15.302961997804232,12792.39492600027,37.0,48.816130869194204,0.0,990,1500,1800,1900,2400,2800,3900,8800,12000,13000,13000
