Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//api/httpintegration?nums=0/3.14159,59894,0,190.0,207.92406294119652,41.86909999999999,2469.941200000008,78.0,334.85803579641396,0.0,190,220,240,260,300,350,400,440,630,1500,2500
,Aggregated,59894,0,190.0,207.92406294119652,41.86909999999999,2469.941200000008,78.0,334.85803579641396,0.0,190,220,240,260,300,350,400,440,630,1500,2500
